alert_id,user_id,keyword,city_id,industry_id,min_salary,job_type,channel,frequency,is_active,created_at
2229758d-b1b7-4ad5-9457-8a1f7d9ae6b3,7648902a-b27b-4c58-814a-a4d59824af50,Engineer,799eb2c8-9348-4a65-80bb-d8ff82ac8c26,8d9636a5-b58d-4476-aa34-adaf55917ddc,50000,contract,whatsapp,instant,t,2026-04-26 04:06:32
8bc28d42-374a-494c-a86f-7bb6bc06c9fb,bf4e210f-643a-4759-ab83-8af17b86f043,Data Science,25108af7-4852-4206-b168-fe736b42859d,,0,full-time,whatsapp,daily,t,2026-01-10 17:27:44
307cde7c-8324-433e-bc20-e1c6b53c6618,c55bf5a4-c8ee-49e2-8083-32b06430027a,,f846f587-f455-49f3-a062-6c7a9dd85087,6cd7d035-375b-4ed7-be57-86d9cfefd68f,50000,contract,whatsapp,weekly,t,2025-09-25 23:42:57
5628cc58-5ec8-4c51-b685-3857ceb36d07,1112fa14-8b0d-4294-97e7-78b8faa275e7,Manager,1ea1f74a-9084-4666-895a-5b0f2cd6df57,8e3471e2-b658-421d-ab09-4e0a23a00f40,50000,,sms,weekly,t,2025-11-05 22:05:18
faa38952-062f-4144-ab1f-c4e98e8a9a57,f1b5e9f8-50fc-4e60-b822-e1730940bf21,Engineer,25108af7-4852-4206-b168-fe736b42859d,8eb15e1d-1907-4904-8a33-db76940f3a57,100000,full-time,whatsapp,weekly,f,2026-05-07 00:50:36
703b747e-d019-4d17-8a5d-9bbcf9e8693c,0758fcef-5943-423a-8a79-6e2d6ebb8fca,,25108af7-4852-4206-b168-fe736b42859d,bdf207b3-a4af-49b3-b56f-21da234c76b4,0,part-time,whatsapp,daily,t,2025-07-15 14:04:51
eb234df8-6f22-4028-b88b-6d3fc3198d78,44d1d696-aa73-495f-b7c7-6cb925f14d86,React,9839c6c5-7f0e-4d94-bc00-4d545818fd19,8d9636a5-b58d-4476-aa34-adaf55917ddc,80000,,sms,weekly,f,2025-08-01 02:08:34
86d428d8-6a70-427e-ada6-b3666f1ea1fd,ca2f6f0c-4c16-4413-8ae1-807e88a21578,Manager,88ae2ad4-e596-4cd6-8335-352ba27edee8,3f63efb4-8442-4057-a292-742c27f8c348,0,contract,whatsapp,weekly,t,2026-01-24 16:17:28
dd75afda-b34e-4d55-9631-9650c1ef45b8,33e2731e-d8db-49e0-a068-e466ae0381fc,Data Science,b6ee39c4-ee79-4c3f-9380-a75aa01c66b1,8ab76203-671f-4ce8-9082-4d1abc848c6c,100000,part-time,whatsapp,daily,t,2025-06-17 21:20:22
25202a3f-a85c-4695-841e-881c9206569d,c0c477b5-07d8-4fb0-bfb1-f1966dbb12af,React,cbf988ac-01e5-42f4-b4ce-f8caace4832b,6cd7d035-375b-4ed7-be57-86d9cfefd68f,0,contract,email,instant,t,2025-11-09 18:41:52
d71171a7-7cdc-4e3b-be2c-7c295d6ae607,b071b687-6c6d-4983-b0e0-292fd635db95,Manager,f846f587-f455-49f3-a062-6c7a9dd85087,,100000,part-time,sms,daily,t,2025-07-19 16:49:49
dcc55376-0c6a-4f5d-9f70-88a0ff0b7295,fe2d46cb-e0b1-44bc-b076-29b0b8e7c211,,cbf988ac-01e5-42f4-b4ce-f8caace4832b,,80000,part-time,email,weekly,f,2025-07-13 12:00:50
efae8eaa-ed86-446b-a36c-1076f9491510,d3f90615-2718-4e1d-831b-156e4ce6fa77,React,799eb2c8-9348-4a65-80bb-d8ff82ac8c26,073051ba-089b-4559-8557-ad95880b2752,0,,push,weekly,f,2025-11-13 04:11:03
ddf5cfb6-3d2e-4c70-baee-40e9037178d2,ccdfc525-a373-48a0-a44f-89caab65176a,Python,f846f587-f455-49f3-a062-6c7a9dd85087,5201a91a-61ae-42a4-a4bc-53b6797f6a46,0,full-time,whatsapp,daily,t,2026-03-03 05:16:44
3b477721-a1e8-4807-a169-f3e51e5cdde0,686202f6-815e-4861-86c7-9223357dd495,Python,cbf988ac-01e5-42f4-b4ce-f8caace4832b,8d9636a5-b58d-4476-aa34-adaf55917ddc,80000,part-time,whatsapp,instant,t,2026-04-26 20:23:36
